,Unnamed: 0,text,star,original,cluster,action_cluster
6334,6334,"['refrigerator', 'good', 'cooling', 'opt', 'around', 'ft', 'problem', 'amazon', 'share', 'information', 'review', 'properly', 'refrigerator', 'buy', 'old', 'model', 'place', 'new', 'version', 'rs', 'moreover', 'lead', 'display', 'convertible', 'refrigerator', 'saddly', 'refrigerator', 'find', 'adhesive', 'stickertapes', 'refrigerator', 'feel', 'kind', 'cheap', 'like', 'buy', 'low', 'model', 'car', 'space', 'place', 'actual', 'functioning', 'button', 'really', 'expect', 'amazon', 'delivery', 'good', 'side', 'little', 'bang', 'scratched', 'guess', 'online', 'delivery', 'expect', 'live', 'thing', 'though', 'thankfully', 'liveable']",3,"Refrigerator is good. Cooling is opt . It's around 6 ft .

2 problems -
1. AMAZON didn't share information & reviews properly for this refrigerator because of which I bought this (older model ) in place of the newer version which was just Rs2000 more than this . Moreover, it had LED display & was a convertible refrigerator.
Saddly, In my refrigerator I found these adhesive sticker/tapes all over the refrigerator. Feels kinda cheap . ( Like a buying a lower model car & having just spaces in place of actual functioning buttons ) . Really didn't expected that from Amazon .

2. Delivery . All good . But the sides are a little banged , scratched . But I guess with online delivery , you have to expect& live with such things . Though , thankfully they are liveable.",0,5
6335,6335,"['receive', 'dent']",2,Received with dents,0,4
6336,6336,"['buy', 'lg', 'star', 'frostfree', 'smart', 'inverter', 'double', 'door', 'refrigerator', 'model', 'glssdsx', 'door', 'closing', 'issue', 'make', 'complain', 'lg', 'service', 'team', 'close', 'ticket', 'state', 'design', 'door', 'close', 'issue', 'fix']",1,"Don't buy ""LG 343 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S382SDSX)"" its had door closing issue, I made complain, but LG service team closing the ticket by stating its by design, and door closing issue can't be fixed.",0,1
6337,6337,"['first', 'order', 'back', 'side', 'door', 'damage', 'second', 'order', 'top', 'bottom', 'corner', 'bend', 'place', 'order', 'third', 'time', 'third', 'time', 'receive', 'minor', 'damage', 'show', 'video', 'first', 'two', 'order', 'money', 'block', 'day', 'want', 'third', 'time', 'unfortunately', 'accept', 'minor', 'damage', 'product']",1,During first order back side n door was damaged. During second order top and bottom corner was bend so place order third time and third time I received minor damage shown in video. During first two order My money block for 10 to 12 days which I did not want third time so unfortunately I accept minor damage product.,0,1
6338,6338,"['customer', 'care', 'pathetic', 'installation', 'delay', 'multiple', 'follow', 'ups', 'require', 'engineer', 'explain', 'everything', 'problem', 'product', 'regret', 'purchase', 'else', 'good', 'purchase']",1,Customer care is pathetic. Installation was delayed and multiple follow ups were required. Engineer will not explain everything. When there is a problem with product you will regret the purchase else its a good purchase.,0,2
6339,6339,"['okay', 'product', 'rating', 'look', 'fine', 'let', 'tell', 'plan', 'buy', 'please', 'buy', 'amazon', 'support', 'pathetic', 'become', 'pathetic', 'always', 'vouch', 'online', 'cheaper', 'option', 'well', 'pay', 'little', 'extra', 'buy', 'retail', 'order', 'refrigerator', 'receive', 'manufacturing', 'defect', 'one', 'purchasing', 'show', 'day', 'replacement', 'later', 'say', 'return', 'possible', 'assign', 'delhivery', 'pick', 'return', 'delhivery', 'make', 'life', 'hell', 'come', 'pick', 'pick', 'call', 'amazon', 'keep', 'reschedule', 'pick', 'go', 'approached', 'consumer', 'ministry', 'helpline', 'pick', 'product', 'order', 'thinking', 'may', 'one', 'time', 'experience', 'forgive', 'move', 'deliver', 'defective', 'product', 'refuse', 'accept', 'use', 'open', 'box', 'inspection', 'option', 'refund', 'money', 'honestly', 'call', 'time', 'time', 'different', 'executive', 'say', 'different', 'thing', 'money', 'stucked', 'amazon', 'waste', 'precious', 'time', 'energy', 'buy', 'amazon', 'amazon', 'excellent', 'small', 'item', 'buy', 'large', 'costly', 'appliance', 'item', 'amazon', 'regret', 'lucky', 'get', 'good', 'product', 'case', 'issue', 'get', 'ready', 'call', 'amazon', 'time', 'day', 'everyday', 'even', 'mail', 'india', 'head', 'amit', 'team', 'saw', 'email', 'guy', 'name', 'adam', 'follow', 'formality', 'never', 'mean', 'help', 'call', 'sympathy', 'solution', 'never', 'respond', 'email', 'email', 'ask', 'feedback', 'go', 'retail', 'buy', 'amazon', 'try', 'filpkart', 'might', 'throw', 'case', 'inshort', 'avoid', 'amazon', 'pathetic', 'india', 'head', 'help', 'call', 'center', 'executive', 'help']",1,"Okay so the product from rating looks fine.
But let me tell the if you are planning to buy, Please do not buy from Amazon. The support is pathetic or has become pathetic. I always vouch for Online as you have cheaper and more options, but better pay a little extra but buy from retail.
I ordered this refrigerator, received a manufacturing defect one. While purchasing they show 10 days replacement only but later on they will say only return is possible. They will assign Delhivery to pick up the return and Delhivery will make your life hell, will not come for pick up and will not pick up calls. Amazon will keep rescheduling pick up again and again and this will go on, I approached consumer ministry helpline then only they picked up the product.

Ordered again, thinking may be a one time experience, forgive and move. They delivered the same defective product. We refused to accept using open box inspection option but now they have not refunded my money. Honestly, I have called them over 20 times and each time a different executive says a different thing.
My money is being stucked. Amazon will waste your precious time and energy. Do not Buy from Amazon.
Amazon is excellent for small items but do not buy large or costly appliances or items from Amazon, you will regret it.
If you are lucky, will get good product but in case of any issue get ready to call Amazon 10 times a day everyday.
I even mailed India head Amit, he or his team saw my email and a guy named Adam followed up, it was just a formality. He never meant to help, just a call and sympathy. No solution, never responds to email, just emails asking for feedback.
Go For Retail, Do not buy from Amazon. You can try filpkart but again might throw same case.
Inshort, Avoid Amazon, they are pathetic. If India head is not helping you, how call center executives will help.",0,1
6340,6340,"['play', 'video', 'new', 'lg', 'star', 'glssdsx', 'cool', 'ice', 'form', 'freezer', 'overall', 'cooling', 'issue', 'refrigerator', 'write', 'express', 'disappointment', 'frustration', 'regard', 'recent', 'new', 'refrigerator', 'function', 'freeze', 'exchange', 'experience', 'may', 'exchange', 'function', 'refrigerator', 'exchange', 'amazon', 'service', 'new', 'refrigerator', 'lg', 'star', 'however', 'new', 'refrigerator', 'receive', 'function', 'properly', 'cool', 'effectively', 'ice', 'form', 'overall', 'cooling', 'deficiency', 'refrigerator', 'section', 'leave', 'faulty', 'refrigerator', 'meet', 'need', 'new', 'lg', 'star', 'glssdsx', 'cool', 'properly', 'ice', 'form', 'freezer', 'overall', 'cooling', 'issue', 'refrigerator', 'write', 'express', 'disappointment', 'frustration', 'regard', 'recent', 'new', 'refrigerator', 'function', 'freeze', 'exchange', 'experiencei', 'eagerly', 'await', 'prompt', 'response', 'resolution']",1,"Play Video
My new LG 343 L 3 Star GL-S382SDSX is not cooling. There's no ice forming in the freezer, and there's an overall cooling issue in the refrigerator.""
I am writing to express my disappointment and frustration regarding a recent new refrigerator and my functioning freeze exchange experience....

On 13 May 2024, I exchanged my functioning refrigerator for an exchange through Amazon's service with a new refrigerator LG 343 L 3 Star . However, the new refrigerator I received is not functioning properly. It is not cooling effectively, with no ice forming and an overall cooling deficiency in the refrigerator section. I am left with a faulty refrigerator that does not meet my needs...

My new LG 343 L 3 Star GL-S382SDSX is not cooling properly. There's no ice forming in the freezer, and there's an overall cooling issue in the refrigerator.""
I am writing to express my disappointment and frustration regarding a recent new refrigerator and my functioning freeze exchange experience....I eagerly await your prompt response and resolution.",0,6
6341,6341,"['play', 'video', 'today', 'instal', 'much', 'noise', 'add', 'video', 'self', 'explanatory', 'cool', 'look', 'fine', 'looks', 'good', 'space', 'design', 'well', 'sound', 'like', 'small', 'electric', 'motor']",1,"Play Video
Today it's installed and it has too much Noise. Added Video is self explanatory. Cooling looks fine, looks good. Space is designed well. But it is sounding like a small electric motor.",0,3
6342,6342,['work'],1,Not working,0,4
6343,6343,"['disappointed', 'miss', 'lock', 'system']",3,Disappointed because of missing lock system,0,3
6344,6344,"['order', 'refegrter', 'scratch', 'product']",3,I have order Refegrter Some scratches on product,0,4
6345,6345,"['poor', 'customer', 'servicethe', 'fridge', 'start', 'show', 'condensation', 'water', 'leak', 'within', 'month', 'response', 'lg', 'customer', 'service', 'spite', 'numerous', 'call', 'email', 'take', 'month', 'decide', 'need', 'replace']",1,Very poor customer service.the fridge started showing condensation and water leaking out .just within 6 months. No response from LG customer service in spite of numerous calls and emails. It took them 2 months to decide that this needed to be replaced,0,4
6346,6346,"['super', 'fast', 'service', 'amazon']",3,Super fast service by Amazon,0,2
6347,6347,"['product', 'good', 'nice', 'deal', 'problem', 'lg', 'installation', 'amazon', 'product', 'deliver', 'instal', 'days', 'continuous', 'follow', 'installation', 'do', 'days', 'days', 'also', 'get', 'calculate', 'returning', 'time', 'period', 'customer', 'use', 'installation', 'delay', 'seller', 'amazon', 'lg', 'customer', 'suffer', 'return', 'window', 'time', 'increase', 'return', 'window', 'time', 'calculate', 'think', 'order']",2,Product is good nice deal but problem with LG installation N amazon.. Product delivered but not installed for 5days after continuous follow up installation done after 5days.. This 5days also got calculated for returning time period.. How can customer use with out installation.. Its delay from seller amazon N LG why should customer suffer.. Why returning window time not increased? How this returning window time calculated... Should think n order,0,2
6348,6348,"['deliver', 'noticed', 'egg', 'tray', 'miss', 'really', 'disappointed']",3,As they delivered we noticed the egg tray was missing really disappointed,0,2
6349,6349,"['play', 'video', 'thoroughly', 'inspected', 'product']",3,"Play Video
Before he should have thoroughly inspected the product",0,3
6350,6350,"['good', 'look', 'value', 'money', 'product']",3,Good looking and value for money product.,0,2
6351,6351,"['constant', 'cooling', 'issue', 'even', 'lg', 'support', 'team', 'respond', 'address', 'issue', 'pathetic', 'service']",2,There has been constant cooling issue & even the LG support team doesn't respond or address to the issue. Pathetic service,0,2
6352,6352,"['play', 'video', 'poor', 'quality', 'refrigerator', 'lg', 'see', 'video', 'expect', 'refrigerator', 'deliver', 'yesterday']",1,"Play Video
Very poor quality refrigerator from LG see video .

Not expecting as this refrigerator was delivered just yesterday",0,3
6353,6353,"['bad', 'experience', 'work', 'struggle', 'get', 'connect', 'customer', 'service']",1,"Bad experience. Not working.
Struggling to get connected with customer service",0,2
6354,6354,"['design', 'good', 'look', 'stylish', 'vegetable', 'box', 'small', 'advantage', 'convertible', 'box', 'like', 'control', 'panel', 'inside', 'fridge', 'convenient', 'thinq', 'app', 'iphone', 'never', 'work', 'qr', 'discoverable', 'bad', 'part', 'connect', 'home', 'investor', 'wifi', 'option', 'describe', 'product', 'smart', 'connect', 'amazon', 'delivery', 'good', 'unbox', 'freeze', 'check', 'damage', 'worst', 'lg', 'support', 'team', 'hour', 'one', 'come', 'even', 'call', 'demo', 'inspite', 'repeat', 'reminder', 'request', 'base', 'experience', 'like', 'recommend', 'product', 'brand', 'due', 'bad', 'bad', 'support']",3,"Design is good, it looks stylish. Vegetable box is small. Only advantage is it has a convertible box. I didn’t like the control panel inside the fridge. it’s not convenient at all.
ThinQ App with iPhone never works. QR is not discoverable. The WORST part is it’s not connecting to home investors, No WiFi option as it was described in the product. So No SMART Connect.

Amazon delivery is good, but they didn’t unbox the freeze to check the damage. Worst is LG support team, it been 48 hours and no one has come or even call for demo, inspite of repeated reminders and requests. Based in these experiences, I don’t like to recommend this product and brand due to bad bad support.",0,2
6355,6355,"['purchase', 'lg', 'refrigerator', 'ltr', 'jun', 'compressor', 'stop', 'work', 'even', 'days', 'complaint', 'reminder', 'service', 'replacement', 'year', 'warranty', 'compressor', 'lg', 'mean', 'service']",1,"Purchased LG refrigerator 360ltr in Jun 2021, but compressor stopped working. Even after 10days of complaint and reminder, there is no service or replacement of under 10 years warranty of compressor. LG means no service.",0,1
6356,6356,"['buy', 'last', 'month', 'within', 'one', 'month', 'stop', 'cool', 'even', 'hour', 'also', 'get', 'response', 'lg', 'service', 'team', 'poor', 'quality', 'lgvery', 'disappoint', 'lose', 'worst', 'product']",1,"I bought in last month only but within one month stop cooling and even after 48 hours also I didn't get any response from LG service team.
Poor quality by LG.very disappointed 😔. I lost my 35000.worst product .",0,4
6357,6357,"['refrigerator', 'stop', 'work', 'three', 'time', 'half', 'year', 'service', 'team', 'inform', 'take', 'day', 'replace', 'part', 'standby', 'provide']",1,The refrigerator stopped working three times in 2 and half years. The service team has informed they will take 15 days to replace parts. No standby provided to us.,0,1
6358,6358,"['life', 'compressor', 'short', 'year', 'take', 'long', 'time', 'replace', 'week', 'since', 'call', 'service', 'center', 'still', 'show']",1,The life of the compressor is too short (3 year) and it takes a long time to replace them. Its been 2 weeks since we called the service center and still they haven't showed up.,0,1
6359,6359,"['well', 'take', 'dealer', 'online', 'amazon', 'keep', 'promise', 'replacement', 'issue', 'item', 'issue', 'freezer', 'ask', 'replacement', 'however', 'ask', 'take', 'refund', 'also', 'ready', 'give', 'old', 'refrigerator', 'back', 'give', 'exchange', 'get', 'issue', 'resolve', 'authorized', 'lg', 'service', 'keep', 'item', 'bad', 'experience', 'amazon', 'st', 'time']",3,Better to take from a dealer than online as Amazon don't keep their promises of replacement when there is any issue with the item. I had some issue with the freezer and asked for replacement however they asked me to take refund and also were not ready to give my old refrigerator back that was given as exchange. I had to get the issue resolved by the authorized lg service and keep the item. Very bad experience with Amazon for the 1st time.,0,1
6360,6360,"['refrigerator', 'absolutely', 'defective', 'product', 'within', 'year', 'purchase', 'agas', 'leakage', 'problem', 'compressor', 'pump', 'low', 'gas', 'proper', 'response', 'register', 'complaint', 'service', 'person', 'ram', 'babu', 'arrogant', 'one', 'ask', 'charge', 'rs', 'repair', 'ask', 'another', 'technician', 'earlier', 'lg', 'come', 'tell', 'product', 'defect', 'designing', 'pay', 'single', 'penny', 'however', 'end', 'helpless', 'question', 'lg', 'manage', 'disservice', 'customer', 'within', 'year', 'product', 'become', 'totally', 'useless', 'claim', 'repair', 'charge', 'policy', 'customer', 'satisfaction']",1,"The refrigerator is absolutely defective product. Within 2 years of purchase, there was agas leakage. Again now there is a problem with the compressor or pumping low gas. There is no proper response when you register a complaint. The service person Ram Babu was as arrogant as one can be and asked us charges of Rs. 2500 to repair. I had asked another technician, who was earlier with LG, who came and told us that this is a product defect in designing and you shouldn't pay a single penny for this. However, I ended up helpless. My question to LG is, how do you manage with such disservice to the customers? Within 3 years your product becomes totally useless claiming repairs and charges? Don't you have a policy of customer satisfaction.",0,1
6361,6361,"['lg', 'refrigerator', 'garbage', 'since', 'purchase', 'product', 'give', 'sleepless', 'night', 'compressor', 'refrigerator', 'change', 'twice', 'since', 'purchase', 'year', 'water', 'constantly', 'leak', 'refrigerator', 'lg', 'sale', 'service', 'also', 'poor', 'every', 'time', 'charge', 'buck', 'come', 'place', 'check', 'unit', 'please', 'buy', 'lg', 'product', 'want', 'main', 'peace', 'mind']",1,This LG refrigerator is just garbage. Since I purchased this product it’s giving me sleepless nights. The compressor of this refrigerator has been changed twice since 2021 (purchase year). Water is constantly leaking from this refrigerator. LG after sale service is also very poor. Every time they charge 1000 bucks to just come to my place for checking the unit. Please do not buy LG products if you want to main your peace of mind.,0,1
6362,6362,"['fridge', 'performance', 'amaze', 'cool', 'build', 'quality', 'top', 'notch', 'give', 'star', 'delivery', 'guy', 'dent', 'top', 'door', 'installation', 'agency', 'come', 'day', 'late']",1,"Fridge performance is amazing, cooling and build quality is top notch. Giving 1 star because the delivery guys dented the top door and installation agency came 2 days late.",0,1
6363,6363,"['receive', 'refrigerator', 'today', 'complaint', 'product', 'however', 'packaging', 'poor', 'receive', 'refrigerator', 'dent', 'right', 'side', 'show', 'attached', 'photo', 'dissatisfy', 'way', 'deliver', 'want', 'brand', 'new', 'refrigerator', 'dent']",3,"We received the refrigerator today. I have no complaints with the product. However, the packaging is poor. We received the refrigerator with a dent on the right side as shown in the attached photo. I am dissatisfied with the way it was delivered. Who wants to have a brand new refrigerator with a dent.",0,2
6364,6364,"['purchase', 'refrigerator', 'year', 'ago', 'freezer', 'function', 'properly', 'button', 'control', 'temperature', 'donot', 'work', 'second', 'lg', 'fridge', 'experience', 'pathetic', 'pay', 'rs', 'plus', 'service', 'charge', 'part', 'charge', 'fridge', 'cost', 'rupee', 'year', 'old', 'use', 'lg', 'product', 'year', 'never', 'pathetic', 'experience', 'urgent', 'attention', 'require']",2,"After having purchased the above refrigerator a year ago, my freezer is not functioning properly and the buttons controlling the temperature donot work. This is my second LG fridge and the experience is pathetic. I will not pay rs.700 plus service charges or parts charges if any for a fridge costing 40000 rupees and just a year old, I have used LG products for more than 20 years and never had such a pathetic experience. Urgent attention required.",0,1
6365,6365,"['damage', 'product', 'receive', 'replacement', 'available', 'even', 'stock']",1,Damaged product received. No replacement available even have stock.,0,1
6366,6366,"['demo', 'yet', 'give']",2,Demo not yet given,0,2
6367,6367,"['write', 'review', 'year', 'use', 'fridge', 'stop', 'cool', 'even', 'turn', 'max', 'cool', 'fridge', 'leave', 'bad', 'oder', 'call', 'brand', 'say', 'clean', 'fridge', 'switch', 'help', 'even', 'clean', 'still', 'stincks', 'water', 'fridge', 'leak', 'continuously', 'bottom', 'side', 'create', 'mess', 'overall', 'buy', 'fridge', 'think', 'lg', 'good', 'brand', 'leave', 'expectation', 'strongly', 'recommend', 'go', 'poor', 'product', 'spite', 'brand', 'change', 'premium', 'price']",1,"Writing this review after 2.5 years of use. Fridge stopped cooling, even when you turn it on for max cooling. The fridge leave a bad Oder and, when you call brand they say clean the fridge and switch it again, but it doesn't help as even after you clean, it still stincks.
The water from fridge leaks continuously from bottom side creating a mess.

Overall bought this fridge thinking LG is a good brand, but it did not leave up to expectations.
Strongly recommend not to go with such poor products in spite of brand changing premium price.",0,1
6368,6368,"['purchase', 'fridge', 'amazon', 'return', 'whirlpool', 'body', 'completely', 'damage', 'place', 'order', 'lg', 'externally', 'ok', 'small', 'break', 'back', 'extra', 'fitting', 'week', 'saw', 'small', 'dent', 'front', 'body', 'invisible', 'unless', 'kenly', 'observe', 'month', 'want', 'pull', 'freezer', 'jam', 'ice', 'ice', 'box', 'saw', 'good', 'break', 'fit', 'glass', 'tray', 'edge', 'end']",1,Don't purchase fridge on Amazon we returned once whirlpool as it's body was completely damaged and we placed order for LG externally it was ok and small break at back for an extra fitting after a week or so we saw small dent on front body which was invisible until unless we kenly observe it and now after a month when i wanted to pull my freezer to jammed ice at ice box .....we saw a good break at the fitting of the glass tray edge to the ends.......,0,6
6369,6369,"['take', 'refrigerator', 'use', 'almost', 'year', 'refrigerator', 'work', 'fine', 'initial', 'day', 'month', 'nightmare', 'year', 'refrigerator', 'work', 'total', 'day', 'evey', 'two', 'three', 'week', 'refrigerator', 'show', 'problem', 'stop', 'work', 'non', 'functional', 'month', 'several', 'follow', 'several', 'mean', 'call', 'per', 'day', 'atleast', 'week', 'lg', 'team', 'refrigerator', 'work', 'another', 'max', 'week', 'case', 'stop', 'work', 'first', 'week', 'conclusion', 'refrigerator', 'might', 'good', 'lg', 'service', 'bad', 'time', 'get', 'fix', 'worth', 'money', 'spending', 'would', 'give', 'negative', 'star', 'possible']",1,"This is my take on refrigerator after using it for almost 2 years
The refrigerator works fine for the initial days (for me it was 11 months), but after that it's just a nightmare.
It's been a year and the refrigerator hasn't worked for total of 60 days.
Evey two or three weeks the refrigerator shows some problem, and stops working, and it is non functional for a months and after several follow up (and several means 2-3 calls per days for atleast 2-3 weeks) with LG team, the refrigerator works of another max of 2-3 weeks (in most of the cases it will stop working in the first week only)

Conclusion: Refrigerator might be good, but LG service is worse and your time to get it fixed is not worth the money you are spending. I would've given negative stars if possible",0,1
6370,6370,"['buy', 'lg', 'gltjds', 'refrigerator', 'march', 'amazon', 'product', 'frequent', 'issue', 'cool', 'would', 'work', 'warranty', 'go', 'amc', 'due', 'frequent', 'issue', 'pay', 'rupee', 'additional', 'amc', 'look', 'like', 'every', 'month', 'stops', 'work', 'component', 'need', 'change', 'stop', 'work', 'five', 'day', 'lg', 'say', 'take', 'week', 'get', 'replacement', 'component', 'assign', 'service', 'engineer', 'team', 'lead', 'team', 'manager', 'respond', 'call', 'return', 'call', 'make', 'several', 'followup', 'product', 'substandard', 'service', 'pathetic']",1,"I bought this LG GL-T402JDS3 refrigerator in March 2020 from Amazon. The product was having frequent issues where cooling wouldn't work. After the warranty, I went to AMC due to the frequent issues. I paid 5000 rupees additional for the AMC.  It looks like every 3 months it stops working and a component needs to be changed. Now it has stopped working for five days, and LG is saying it will take a week to get the replacement component. An assigned service engineer, team lead, and team manager don't respond at all when called. No return call is made for several follow-ups. The product is substandard, and the service is pathetic.",0,1
6371,6371,"['fridge', 'year', 'compressor', 'warranty', 'stop', 'work', 'year', 'lg', 'customer', 'care', 'pathetic', 'worst', 'service', 'come', 'across', 'sent', 'person', 'day', 'raise', 'complaint', 'say', 'compressor', 'work', 'would', 'need', 'replace', 'day', 'even', 'endless', 'call', 'lg', 'customer', 'care', 'one', 'come', 'repair', 'say', 'compressor', 'ship', 'another', 'place', 'many', 'customer', 'wait', 'fridge', 'fail', 'midst', 'summer', 'peak', 'leave', 'without', 'redress', 'past', 'day', 'ever', 'trust', 'lg']",1,The fridge has a 10 year compressor warranty but stopped working in 1 year. The LG customer care is the most pathetic & worst service I have come across. They sent a person after 3 days of raising a complaint. He said the compressor is not working & would need to be replaced. Its been 10 days now & even after endless calls to the LG customer care no one has come for the repair. They say the compressor has to be shipped from another place & there are many more customers waiting for the same. The fridge failed in the midst of a summer peak & we are left without a redress for the past 10 days! Dont ever trust LG.,0,1
6372,6372,"['model', 'probably', 'longer', 'supported', 'lg', 'freezer', 'part', 'break', 'exactly', 'year', 'buying', 'fridge', 'day', 'warranty', 'expire', 'team', 'lg', 'accurately', 'guess', 'warranty', 'year', 'imagine', 'something', 'guarantee', 'last', 'year', 'secondly', 'service', 'guy', 'place', 'order', 'part', 'first', 'locally', 'available', 'order', 'place', 'bengaluru', 'unavailable', 'order', 'place', 'noida', 'day', 'refrigerator', 'please', 'check', 'local', 'lg', 'dealer', 'fridge', 'well', 'support', 'support', 'need', 'today', 'electronics', 'delicate', 'stupid', 'make', 'tolerance', 'failure', 'service', 'business', 'unlike', 'old', 'day', 'quality', 'important']",1,"This model is probably no longer supported by LG, a freezer part broke down exactly 1 year after buying the fridge 5 days after the warranty expired, So team LG have accurately guessed the warranty as 1 year. Just imagine ₹40K for something that is guaranteed to last only 1 year. Secondly the service guy placed the order for the part first locally, then as it was not available, order was placed in Bengaluru, there too it's unavailable so now order is placed in Noida, so 5 days now and I do not have a refrigerator.
So please check with the local LG dealer only which fridge has better support. And support is needed as today's electronics are delicate and stupid because they are made with tolerances for failure (servicing business) unlike the old days where quality was the most important.",0,1
6373,6373,"['play', 'video', 'receive', 'faulty', 'product', 'technician', 'remove', 'part', 'find', 'issue', 'pipe', 'really', 'bad', 'experience', 'unable', 'replace', 'product', 'amazon', 'take', 'concern', 'receive', 'product', 'issue', 'option', 'replace', 'item', 'buy', 'noise', 'come', 'fridge', 'door', 'hard', 'make', 'sound', 'cool', 'amazon', 'please', 'replace', 'product', 'waste', 'money', 'need', 'call', 'lg', 'tech', 'support', 'always', 'fix', 'issue', 'brand', 'new', 'product', 'poor', 'customer', 'service']",1,"Play Video
Received a faulty product the technician removed all the parts and found that there is an issue with the pipe really a bad experience where I'm unable to replace the product and Amazon is not taking our concern after receiving the product there is issue why do there is a option to replace items when we buy, noise coming from the fridge the doors is hard and making sound over cooling, Amazon please replace the product , waste of money need to call the lg tech support always to fix my issues for brand new product. Poor customer service",0,1
6374,6374,"['receive', 'refrigerator', 'miss', 'part', 'receive', 'help', 'amazon', 'lg', 'report', 'miss', 'product', 'unsatisfied', 'disappointed']",1,"Received refrigerator with missing part.
Not received any help from Amazon and LG after reporting missing product.
Unsatisfied and very disappointed 😔",0,1
6375,6375,"['inr', 'fridge', 'expect', 'inr', 'amc', 'run', 'smoothly', 'year', 'joke', 'electronic', 'panel', 'get', 'damage', 'year', 'panel', 'might', 'impact', 'sensor', 'need', 'replace', 'good', 'go', 'low', 'end', 'fridge']",2,"An INR 40000 fridge expects INR 20000AMC so that it can run smoothly for 10 years. It’s a joke.
The electronic panel got damaged after a year and the same panel might impact the sensor. Needs to be replaced now. Better go for low end fridge.",0,4
6376,6376,"['cool', 'effective', 'sometimes', 'freeze', 'low', 'shelf', 'freeze', 'freezer', 'freezer', 'stop', 'work', 'month', 'please', 'buy', 'lg']",1,"Cooling is not effective, sometimes freezes on lower shelf and doesn't freeze in freezer. Freezer stopped working after 13 months. Please don't buy it from LG",0,5
6377,6377,"['stop', 'cool', 'summer', 'compressor', 'die', 'year', 'broken', 'do', 'thrice', 'year', 'add', 'service', 'super', 'high', 'class', 'compressor', 'entire', 'state', 'delhi', 'get', 'pune', 'take', 'day', 'guy', 'lg', 'get', 'medal']",1,"Stops cooling in summers. Compressor died in 2 years.
Has broken done thrice in 3 years.
Add to that the service is super high class - they don't have the compressor in entire state of Delhi. And getting it from Pune will take 6 days. These guys at LG should get medal.",0,4
6379,6379,"['issue', 'door', 'cool', 'find', 'work']",3,Issue with door cooling. I don't find that it is working,0,4
6380,6380,"['noisy', 'otherwise', 'seem', 'work', 'fine', 'use', 'since', 'last', 'month']",3,Noisy. Otherwise it seems to be working fine. We have been using it since last 5 months now.,0,4
6381,6381,"['dent', 'issue', 'onlower', 'side', 'leave', 'wall', 'refrigerator', 'adequate', 'cooling', 'issue']",1,Denting issues onLower side of the left wall of this refrigerator and adequate cooling issues,0,1
6382,6382,"['four', 'month', 'cool', 'stop', 'work', 'technician', 'arrive', 'complaint', 'send', 'lg', 'support', 'past', 'day', 'make', 'false', 'promise', 'field', 'team', 'inform', 'issue', 'nobody', 'visit', 'since', 'lg', 'provide', 'bad', 'customer', 'service', 'careless', 'longer', 'suggest', 'good']",1,"After four months, the cooling stopped working. The technician does not arrive after the complaint has been sent to LG support. For the past 17 days, they have made false promises that the field team has been informed of the issues, but nobody has visited. Since LG provides bad customer service and is careless, I will no longer suggest their goods.",0,2
6383,6383,"['alot', 'sweat', 'surface', 'temperature', 'control', 'go', 'toss', 'due', 'collect', 'water', 'everywhere', 'screw', 'current', 'flow', 'across', 'brand', 'ready', 'accept', 'defective', 'product', 'super', 'annoy', 'sad', 'option', 'return', 'spending', 'much', 'money', 'experience', 'th', 'day', 'delivery', 'installation', 'look', 'lg', 'amazon', 'product', 'experience']",1,"There is alot of sweating on the surfaces, temperature control has gone for a toss, due to the collected water everywhere the screws have current flowing all across. The brand is not ready to accept that it is a defective product. Super annoyed and sad that we have no option to return it after spending so much money. My experience is on the 8th day of the delivery and installation and i look down on LG and Amazon for this product and the experience we had.",0,2
6384,6384,"['one', 'corner', 'freezerefrigerator', 'damage']",1,one corner of the freeze/refrigerator is damaged.,0,4
6385,6385,['tomuch'],3,Tomuch,0,6
6387,6387,"['buy', 'frost', 'free', 'lg', 'refrigerator', 'october', 'amazon', 'product', 'still', 'warranty', 'month', 'freezer', 'frost', 'th', 'july', 'call', 'lg', 'customer', 'care', 'send', 'technician', 'repair', 'within', 'day', 'repair', 'frost', 'recur', 'freezer', 'day', 'since', 'raise', 'complaint', 'lg', 'resolve', 'issue', 'product', 'substandard', 'service', 'poor']",1,I bought this frost free LG refrigerator in October 2020 on Amazon. The product is still under warranty. This month the freezer has frosting. On 20th July I called LG customer care. They sent a technician who repaired it. Within 2 days of repair frosting recurred in the freezer. It is 9 days since I raised a complaint and LG has not resolved the issue. The product is substandard and service is very poor.,0,1
6389,6389,"['satisfied', 'frequent', 'breakdown']",1,Not satisfied because of frequent breakdown.,0,5
6390,6390,"['within', 'short', 'span', 'le', 'year', 'damage', 'time', 'end', 'warrenty', 'period']",1,Within a short span of less than 2 years it has been damaged 3 times after ending the warrenty period.,0,4
